path,category,reason_tags,git_state,size_kb,modified_at
.git/logs/refs/heads/codex/backup-full-20260321-074541,D:Legacy/Backup/Archive,*backup*,untracked,0.43,2026-03-21T07:46:15
.git/logs/refs/remotes/origin/codex/autobackup-full,D:Legacy/Backup/Archive,*backup*,untracked,0.2,2026-03-21T13:29:21
.git/logs/refs/remotes/origin/codex/backup-full-20260321-074541,D:Legacy/Backup/Archive,*backup*,untracked,0.19,2026-03-21T07:47:44
.git/refs/heads/codex/backup-full-20260321-074541,D:Legacy/Backup/Archive,*backup*,untracked,0.04,2026-03-21T07:46:15
.git/refs/remotes/origin/codex/autobackup-full,D:Legacy/Backup/Archive,*backup*,untracked,0.04,2026-03-21T13:29:21
.git/refs/remotes/origin/codex/backup-full-20260321-074541,D:Legacy/Backup/Archive,*backup*,untracked,0.04,2026-03-21T07:47:44
.git/refs/tags/backup-full-20260321-074541-msk,D:Legacy/Backup/Archive,*backup*,untracked,0.04,2026-03-21T07:47:44
ai/report.md,B:Audit/Report,report.md,tracked-clean,37.92,2026-03-20T20:21:48
archive/artifacts/.tmp_runtime_audit/.DS_Store,D:Legacy/Backup/Archive,archive/*,ignored,6.0,2026-03-20T11:08:15
archive/legacy/audit-html/icon-audit-full.html,D:Legacy/Backup/Archive,archive/*,tracked-dirty,10.84,2026-03-20T20:21:48
archive/legacy/audit-html/icon-audit.html,D:Legacy/Backup/Archive,archive/*,tracked-dirty,10.84,2026-03-20T20:21:48
archive/legacy/audit-html/icon_replacements_sheet.html,D:Legacy/Backup/Archive,archive/*,tracked-dirty,12.98,2026-03-20T20:21:48
archive/legacy/audit-html/icon_replacements_sheet_with_bootstrap.html,D:Legacy/Backup/Archive,archive/*,tracked-dirty,15.98,2026-03-20T20:21:48
archive/legacy/dist-backups/index.html.bak_manual_fix,D:Legacy/Backup/Archive,*.bak_*; archive/*,tracked-dirty,695.23,2026-03-20T20:21:48
archive/legacy/root/Untitled,D:Legacy/Backup/Archive,archive/*,tracked-dirty,0.55,2026-03-16T19:20:28
archive/legacy/root/index-aidacamp-final-v8.html,D:Legacy/Backup/Archive,archive/*,tracked-dirty,490.31,2026-03-20T20:21:48
archive/legacy/root/index-sandbox-backup.html,D:Legacy/Backup/Archive,*backup*; archive/*,tracked-dirty,2.58,2026-03-20T20:21:48
archive/legacy/root/index.backup.20260316_160302.html,D:Legacy/Backup/Archive,*backup*; archive/*,tracked-dirty,490.31,2026-03-20T20:21:48
archive/legacy/root/index.html.bak_manual_fix,D:Legacy/Backup/Archive,*.bak_*; archive/*,tracked-dirty,645.45,2026-03-20T20:21:48
